# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Pt2 O4
# Reduced formula:  PtO2
# space group: (Pn-3m), space number:  (224)
# abc:  4.483783   4.483783   4.483783
# angles: 90.000000  90.000000  90.000000
# sites: 6
# mp-20119
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.262 Rnm= 1.415 L3 shell
# Pot 1 Z= 8 Rmt= 0.968 Rnm= 1.088
# Pot 2 Z=78 Rmt= 1.267 Rnm= 1.427
# Gam_ch=5.171E+00 H-L exch
# Mu= 5.496E+00 kf=2.289E+00 Vint=-1.447E+01 Rs_int= 1.584
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.9415
#           2       0.00000     17.79     12.00     3   3.5268
#           3       0.00000     54.95     12.00     2   3.7178
#           4       0.00000     46.25      8.00     2   3.8831
#           5       0.00000     63.62      8.00     3   3.8831
#           6       0.00000      8.10      4.00     4   3.8831
#           7       0.00000     40.94      4.00     4   3.8831
#           8       0.00000      6.08     12.00     4   3.8831
#           9       0.00000     12.02     48.00     3   4.4149
#          10       0.00000     24.11      6.00     2   4.4838
#          11       0.00000      4.55     24.00     3   4.7712
#          12       0.00000     23.15     12.00     2   4.8861
#          13       0.00000     22.22     24.00     3   4.9991
#          14       0.00000      7.34     24.00     3   5.0715
#          17       0.00000      5.70     12.00     4   5.1121
#          18       0.00000      9.37     12.00     4   5.1121
#          19       0.00000      5.47     24.00     3   5.3554
#          20       0.00000      7.33     24.00     3   5.3553
#          21       0.00000      5.32     24.00     4   5.3554
#          22       0.00000     11.12     24.00     4   5.3553
#          23       0.00000      5.47     24.00     4   5.4683
#          24       0.00000      4.13     24.00     4   5.4683
#          25       0.00000     11.13     24.00     5   5.4683
#          27       0.00000     10.01     24.00     3   5.5754
#          28       0.00000     10.27     24.00     4   5.6593
#          31       0.00000     16.75     16.00     2   5.8246
#          32       0.00000      4.63      8.00     3   5.8246
#          33       0.00000     20.11      8.00     3   5.8246
#          34       0.00000      8.85      8.00     4   5.8246
#          36       0.00000     25.41      4.00     4   5.8246
#    30/  33 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     9.6500    8.584877E-03  8.584896E-03  2.670564E+01
     9.7000    8.405696E-03  8.719948E-03  2.697282E+01
     9.7500    7.362307E-03  8.596547E-03  2.724603E+01
     9.8000    5.620950E-03  8.221203E-03  2.752149E+01
     9.8500    3.505602E-03  7.611744E-03  2.779572E+01
     9.9000    1.414865E-03  6.795638E-03  2.806460E+01
     9.9500   -2.772671E-04  5.808894E-03  2.832208E+01
    10.0000   -1.310272E-03  4.696328E-03  2.855709E+01
    10.0500   -1.633403E-03  3.521811E-03  2.875661E+01
    10.1000   -1.261701E-03  2.344617E-03  2.884255E+01
    10.1500   -4.246144E-04  1.429676E-03  2.857588E+01
    10.2000    5.494434E-04  1.529476E-03  2.790688E+01
    10.2500    1.314851E-03  2.506336E-03  2.772208E+01
    10.3000    1.587198E-03  3.665700E-03  2.782653E+01
    10.3500    1.199784E-03  4.810572E-03  2.802227E+01
    10.4000    1.275686E-04  5.883704E-03  2.825265E+01
    10.4500   -1.522143E-03  6.862484E-03  2.849800E+01
    10.5000   -3.544189E-03  7.739124E-03  2.875003E+01
    10.5500   -5.681891E-03  8.514858E-03  2.900490E+01
    10.6000   -7.671516E-03  9.196884E-03  2.926091E+01
    10.6500   -9.275025E-03  9.795779E-03  2.951760E+01
    10.7000   -1.029777E-02  1.032293E-02  2.977531E+01
    10.7500   -1.059430E-02  1.078806E-02  3.003494E+01
    10.8000   -1.006957E-02  1.119722E-02  3.029778E+01
    10.8500   -8.683455E-03  1.155145E-02  3.056526E+01
    10.9000   -6.462868E-03  1.184647E-02  3.083888E+01
    10.9500   -3.520223E-03  1.207336E-02  3.112006E+01
    11.0000   -7.090399E-05  1.222012E-02  3.141012E+01
    11.0500    3.497546E-03  1.234973E-02  3.170306E+01
    11.1000    6.910697E-03  1.239486E-02  3.200735E+01
    11.1500    9.731750E-03  1.234269E-02  3.232423E+01
    11.2000    1.152172E-02  1.218582E-02  3.265506E+01
    11.2500    1.192375E-02  1.192504E-02  3.300144E+01
    11.3000    1.075231E-02  1.157183E-02  3.336533E+01
    11.3500    8.064456E-03  1.115084E-02  3.374907E+01
    11.4000    4.191181E-03  1.070189E-02  3.415512E+01
    11.4500   -2.863795E-04  1.028074E-02  3.458538E+01
    11.5000   -4.618798E-03  9.956483E-03  3.503991E+01
    11.5500   -8.016994E-03  9.802700E-03  3.551516E+01
    11.6000   -9.803562E-03  9.881118E-03  3.600294E+01
    11.6500   -9.554969E-03  1.022283E-02  3.649178E+01
    11.7000   -7.202485E-03  1.081831E-02  3.697059E+01
    11.7500   -3.067149E-03  1.162300E-02  3.743206E+01
    11.8000    2.182175E-03  1.257288E-02  3.787356E+01
    11.8500    7.641815E-03  1.359970E-02  3.829581E+01
    11.9000    1.233579E-02  1.464029E-02  3.870119E+01
    11.9500    1.539522E-02  1.564064E-02  3.909253E+01
    12.0000    1.621839E-02  1.655685E-02  3.947245E+01
    12.0500    1.455771E-02  1.731334E-02  3.984188E+01
    12.1000    1.065768E-02  1.793089E-02  4.020422E+01
    12.1500    5.081204E-03  1.839320E-02  4.056081E+01
    12.2000   -1.345675E-03  1.869129E-02  4.091276E+01
    12.2500   -7.680417E-03  1.882282E-02  4.126101E+01
    12.3000   -1.302286E-02  1.879139E-02  4.160638E+01
    12.3500   -1.665635E-02  1.860571E-02  4.194965E+01
    12.4000   -1.814746E-02  1.827873E-02  4.229158E+01
    12.4500   -1.739133E-02  1.782680E-02  4.263299E+01
    12.5000   -1.460132E-02  1.726876E-02  4.297473E+01
    12.5500   -1.025203E-02  1.662519E-02  4.331781E+01
    12.6000   -4.991613E-03  1.591774E-02  4.366333E+01
    12.6500    4.588617E-04  1.516866E-02  4.401255E+01
    12.7000    5.402790E-03  1.440055E-02  4.436689E+01
    12.7500    9.250508E-03  1.363635E-02  4.472784E+01
    12.8000    1.158044E-02  1.289939E-02  4.509693E+01
    12.8500    1.217678E-02  1.221350E-02  4.547554E+01
    12.9000    1.104429E-02  1.160274E-02  4.586461E+01
    12.9500    8.401326E-03  1.109057E-02  4.626438E+01
    13.0000    4.652422E-03  1.069791E-02  4.667397E+01
    13.0500    3.832764E-04  1.040338E-02  4.708704E+01
    13.1000   -3.810435E-03  1.024776E-02  4.750487E+01
    13.1500   -7.338497E-03  1.023053E-02  4.792383E+01
    13.2000   -9.697779E-03  1.034079E-02  4.834018E+01
    13.2500   -1.054172E-02  1.055832E-02  4.875077E+01
    13.3000   -9.733588E-03  1.085618E-02  4.915346E+01
    13.3500   -7.373341E-03  1.120397E-02  4.954719E+01
    13.4000   -3.790248E-03  1.157073E-02  4.993175E+01
    13.4500    5.012201E-04  1.192717E-02  5.030752E+01
    13.5000    4.878028E-03  1.224705E-02  5.067515E+01
    13.5500    8.706288E-03  1.250811E-02  5.103537E+01
    13.6000    1.144309E-02  1.269255E-02  5.138884E+01
    13.6500    1.272329E-02  1.278738E-02  5.173612E+01
    13.7000    1.241420E-02  1.278456E-02  5.207757E+01
    13.7500    1.062724E-02  1.268111E-02  5.241340E+01
    13.8000    7.684890E-03  1.247907E-02  5.274365E+01
    13.8500    4.050853E-03  1.218539E-02  5.306819E+01
    13.9000    2.395995E-04  1.181168E-02  5.338679E+01
    13.9500   -3.274552E-03  1.137378E-02  5.369911E+01
    14.0000   -6.129346E-03  1.089115E-02  5.400482E+01
    14.0500   -8.112077E-03  1.039141E-02  5.430278E+01
    14.1000   -9.172767E-03  9.893144E-03  5.459390E+01
    14.1500   -9.371390E-03  9.417682E-03  5.487868E+01
    14.2000   -8.838796E-03  8.984602E-03  5.515827E+01
    14.2500   -7.727303E-03  8.609898E-03  5.543462E+01
    14.3000   -6.173726E-03  8.304306E-03  5.571047E+01
    14.3500   -4.284211E-03  8.072319E-03  5.598921E+01
    14.4000   -2.142627E-03  7.912329E-03  5.627445E+01
    14.4500    1.635894E-04  7.818064E-03  5.656959E+01
    14.5000    2.512108E-03  7.780999E-03  5.687741E+01
    14.5500    4.723085E-03  7.793062E-03  5.719977E+01
    14.6000    6.557222E-03  7.848933E-03  5.753758E+01
    14.6500    7.740526E-03  7.947416E-03  5.789079E+01
    14.7000    8.013652E-03  8.091676E-03  5.825845E+01
    14.7500    7.195625E-03  8.288350E-03  5.863877E+01
    14.8000    5.246081E-03  8.545762E-03  5.902929E+01
