# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  Fe4 S8
# Reduced formula:  FeS2
# space group: (Pa-3), space number:  (205)
# abc:  5.396824   5.396824   5.396824
# angles: 90.000000  90.000000  90.000000
# sites: 12
# mp-226
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=26 Rmt= 1.298 Rnm= 1.379 K  shell
# Pot 1 Z=26 Rmt= 1.302 Rnm= 1.388
# Pot 2 Z=16 Rmt= 1.274 Rnm= 1.379
# Gam_ch=1.309E+00 H-L exch
# Mu=-7.463E-01 kf=2.171E+00 Vint=-1.870E+01 Rs_int= 1.671
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.2563
#           2       0.00000     35.28      6.00     2   3.4304
#           3       0.00000     10.40      2.00     2   3.6024
#           4       0.00000      7.57     12.00     3   3.7907
#           5       0.00000     56.40     12.00     2   3.8161
#           6       0.00000      7.08     12.00     3   3.9107
#           7       0.00000     17.10     12.00     3   3.9148
#           8       0.00000     32.72     24.00     3   4.1644
#           9       0.00000      4.05     12.00     3   4.3777
#          10       0.00000     18.20      6.00     2   4.4333
#          11       0.00000      4.57     12.00     3   4.4637
#          12       0.00000     10.89      6.00     3   4.5126
#          13       0.00000     12.30      6.00     4   4.5126
#          14       0.00000      4.48      6.00     4   4.5126
#          15       0.00000     11.45     12.00     4   4.5126
#          16       0.00000      4.81     24.00     3   4.7514
#          17       0.00000      9.03     24.00     3   4.7514
#          18       0.00000      4.21     12.00     3   4.8374
#          19       0.00000      9.09     12.00     3   4.8791
#          20       0.00000      6.52     12.00     3   4.9991
#          21       0.00000     12.19      6.00     2   5.1313
#          22       0.00000     22.90     12.00     2   5.2478
#          23       0.00000      6.64     24.00     3   5.2529
#          24       0.00000     30.83     12.00     3   5.2864
#          26       0.00000     21.46      6.00     4   5.3250
#          27       0.00000      9.77     12.00     3   5.3482
#          28       0.00000     11.59      6.00     2   5.3968
#          29       0.00000     11.49     12.00     3   5.4064
#          30       0.00000      5.83     12.00     3   5.5418
#          31       0.00000     11.14     12.00     3   5.5418
#          32       0.00000     12.22     12.00     3   5.5418
#          35       0.00000      4.11     24.00     3   5.6601
#          39       0.00000     12.52     12.00     4   5.6867
#          41       0.00000     10.39      4.00     3   5.7452
#          42       0.00000     10.09      2.00     4   5.7452
#          43       0.00000     16.79     12.00     2   5.8495
#          44       0.00000      8.23     24.00     3   5.9610
#          45       0.00000      8.55     24.00     3   5.9610
#    38/  44 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     9.5000    3.872107E-02  4.338081E-02  3.345447E+01
     9.5500    2.856253E-02  4.079736E-02  3.378197E+01
     9.6000    1.608693E-02  3.755905E-02  3.411490E+01
     9.6500    3.488271E-03  3.374903E-02  3.445398E+01
     9.7000   -7.100407E-03  2.946953E-02  3.480085E+01
     9.7500   -1.405434E-02  2.484059E-02  3.515890E+01
     9.8000   -1.658449E-02  2.000138E-02  3.553514E+01
     9.8500   -1.486923E-02  1.512083E-02  3.594563E+01
     9.9000   -9.962970E-03  1.044453E-02  3.643316E+01
     9.9500   -3.509699E-03  6.518018E-03  3.713050E+01
    10.0000    2.663745E-03  4.998890E-03  3.826110E+01
    10.0500    6.768830E-03  6.769705E-03  3.925384E+01
    10.1000    8.075934E-03  9.736931E-03  3.986265E+01
    10.1500    6.404774E-03  1.266238E-02  4.031038E+01
    10.2000    2.266903E-03  1.519838E-02  4.069099E+01
    10.2500   -3.337255E-03  1.722841E-02  4.103564E+01
    10.3000   -9.219582E-03  1.871876E-02  4.135570E+01
    10.3500   -1.431694E-02  1.968553E-02  4.165506E+01
    10.4000   -1.793115E-02  2.018743E-02  4.193419E+01
    10.4500   -1.983739E-02  2.032566E-02  4.219187E+01
    10.5000   -2.024239E-02  2.024464E-02  4.242641E+01
    10.5500   -1.961769E-02  2.012816E-02  4.263720E+01
    10.6000   -1.846835E-02  2.018298E-02  4.282668E+01
    10.6500   -1.711395E-02  2.060315E-02  4.300203E+01
    10.7000   -1.555276E-02  2.152089E-02  4.317462E+01
    10.7500   -1.345318E-02  2.296912E-02  4.335654E+01
    10.8000   -1.027709E-02  2.488088E-02  4.355649E+01
    10.8500   -5.498813E-03  2.712191E-02  4.377814E+01
    10.9000    1.146752E-03  2.953068E-02  4.402114E+01
    10.9500    9.465010E-03  3.194701E-02  4.428308E+01
    11.0000    1.871830E-02  3.422683E-02  4.456094E+01
    11.0500    2.800382E-02  3.650564E-02  4.485662E+01
    11.1000    3.553585E-02  3.841880E-02  4.516323E+01
    11.1500    3.977230E-02  3.988313E-02  4.547853E+01
    11.2000    3.959247E-02  4.083924E-02  4.580082E+01
    11.2500    3.460011E-02  4.125032E-02  4.612884E+01
    11.3000    2.527229E-02  4.110091E-02  4.646165E+01
    11.3500    1.291045E-02  4.039555E-02  4.679858E+01
    11.4000   -5.995267E-04  3.915728E-02  4.713920E+01
    11.4500   -1.316292E-02  3.742585E-02  4.748328E+01
    11.5000   -2.289850E-02  3.525573E-02  4.783081E+01
    11.5500   -2.850811E-02  3.271393E-02  4.818201E+01
    11.6000   -2.950882E-02  2.987759E-02  4.853741E+01
    11.6500   -2.627940E-02  2.683171E-02  4.889793E+01
    11.7000   -1.991948E-02  2.366693E-02  4.926513E+01
    11.7500   -1.196510E-02  2.047781E-02  4.964147E+01
    11.8000   -4.036521E-03  1.736200E-02  5.003084E+01
    11.8500    2.495128E-03  1.442088E-02  5.043938E+01
    11.9000    6.747231E-03  1.176269E-02  5.087639E+01
    11.9500    8.425810E-03  9.507824E-03  5.135455E+01
    12.0000    7.780129E-03  7.789555E-03  5.188548E+01
    12.0500    5.453558E-03  6.724031E-03  5.246112E+01
    12.1000    2.230550E-03  6.319839E-03  5.304636E+01
    12.1500   -1.148877E-03  6.444697E-03  5.358630E+01
    12.2000   -4.140815E-03  6.886938E-03  5.405215E+01
    12.2500   -6.454334E-03  7.485128E-03  5.444684E+01
    12.3000   -8.017913E-03  8.168652E-03  5.478546E+01
    12.3500   -8.883936E-03  8.934120E-03  5.508391E+01
    12.4000   -9.115642E-03  9.810388E-03  5.535647E+01
    12.4500   -8.701658E-03  1.082961E-02  5.561551E+01
    12.5000   -7.529593E-03  1.200815E-02  5.587092E+01
    12.5500   -5.427367E-03  1.333857E-02  5.612962E+01
    12.6000   -2.256441E-03  1.479083E-02  5.639551E+01
    12.6500    1.977353E-03  1.631864E-02  5.667014E+01
    12.7000    7.036648E-03  1.786680E-02  5.695347E+01
    12.7500    1.242394E-02  1.937753E-02  5.724467E+01
    12.8000    1.742910E-02  2.079507E-02  5.754252E+01
    12.8500    2.124760E-02  2.206892E-02  5.784579E+01
    12.9000    2.314265E-02  2.315588E-02  5.815326E+01
    12.9500    2.261067E-02  2.402140E-02  5.846388E+01
    13.0000    1.950736E-02  2.464035E-02  5.877670E+01
    13.0500    1.410491E-02  2.504722E-02  5.909209E+01
    13.1000    7.020518E-03  2.518704E-02  5.940778E+01
    13.1500   -8.232570E-04  2.506290E-02  5.972311E+01
    13.2000   -8.400539E-03  2.468637E-02  6.003749E+01
    13.2500   -1.476385E-02  2.407634E-02  6.035038E+01
    13.3000   -1.919914E-02  2.325771E-02  6.066134E+01
    13.3500   -2.132359E-02  2.225978E-02  6.097000E+01
    13.4000   -2.111212E-02  2.111451E-02  6.127610E+01
    13.4500   -1.885662E-02  1.985466E-02  6.157947E+01
    13.5000   -1.507648E-02  1.851199E-02  6.188013E+01
    13.5500   -1.040697E-02  1.711556E-02  6.217826E+01
