# comment: None given                          Feff8L (EXAFS)       0.1      
# Source:
# Structure Summary:  P8 Pt4
# Reduced formula:  P2Pt
# space group: (Pa-3), space number:  (205)
# abc:  5.722614   5.722614   5.722614
# angles: 90.000000  90.000000  90.000000
# sites: 12
# mp-730
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=78 Rmt= 1.374 Rnm= 1.446 L3 shell
# Pot 1 Z=15 Rmt= 1.324 Rnm= 1.436
# Pot 2 Z=78 Rmt= 1.387 Rnm= 1.462
# Gam_ch=5.171E+00 H-L exch
# Mu= 1.703E+00 kf=2.133E+00 Vint=-1.564E+01 Rs_int= 1.700
# PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      6.00     2   2.4034
#           2       0.00000     28.96      6.00     2   3.6007
#           3       0.00000      7.67      2.00     2   3.8680
#           4       0.00000     53.58     12.00     2   4.0465
#           5       0.00000     10.13     12.00     3   4.0900
#           6       0.00000     23.95     24.00     3   4.4266
#           7       0.00000     11.87      6.00     2   4.7064
#           8       0.00000      6.46      6.00     3   4.8067
#           9       0.00000     18.60      6.00     4   4.8067
#          14       0.00000      7.18      6.00     2   5.4166
#          16       0.00000     12.73     12.00     2   5.5978
#          17       0.00000     14.07     12.00     3   5.6410
#          18       0.00000      4.02     12.00     3   5.6665
#          19       0.00000      7.87      6.00     4   5.6841
#          20       0.00000     10.29      6.00     2   5.7226
#          21       0.00000      4.92     12.00     3   5.7571
#          23       0.00000      8.07     12.00     3   5.8633
#          24       0.00000      8.65     12.00     3   5.8633
#    18/  21 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     8.1500    2.240943E-02  2.494384E-02  2.624884E+01
     8.2000    2.363594E-02  2.432760E-02  2.646451E+01
     8.2500    2.360714E-02  2.361669E-02  2.667510E+01
     8.3000    2.251840E-02  2.287054E-02  2.687925E+01
     8.3500    2.063215E-02  2.215399E-02  2.707635E+01
     8.4000    1.820226E-02  2.152950E-02  2.726691E+01
     8.4500    1.541282E-02  2.104797E-02  2.745268E+01
     8.5000    1.234901E-02  2.073981E-02  2.763654E+01
     8.5500    8.951653E-03  2.070244E-02  2.782719E+01
     8.6000    5.166838E-03  2.079581E-02  2.802325E+01
     8.6500    9.913760E-04  2.097370E-02  2.822705E+01
     8.7000   -3.488870E-03  2.117793E-02  2.843983E+01
     8.7500   -8.065638E-03  2.134738E-02  2.866178E+01
     8.8000   -1.241304E-02  2.142527E-02  2.889228E+01
     8.8500   -1.613227E-02  2.136426E-02  2.913015E+01
     8.9000   -1.882613E-02  2.112912E-02  2.937389E+01
     8.9500   -2.018392E-02  2.069783E-02  2.962182E+01
     9.0000   -2.005418E-02  2.006154E-02  2.987220E+01
     9.0500   -1.848456E-02  1.923986E-02  3.012626E+01
     9.1000   -1.569089E-02  1.821801E-02  3.037813E+01
     9.1500   -1.209894E-02  1.702377E-02  3.062542E+01
     9.2000   -8.210679E-03  1.569427E-02  3.086537E+01
     9.2500   -4.506737E-03  1.427443E-02  3.109471E+01
     9.3000   -1.361291E-03  1.281561E-02  3.130950E+01
     9.3500    1.011396E-03  1.137447E-02  3.150496E+01
     9.4000    2.569318E-03  1.001208E-02  3.167545E+01
     9.4500    3.416533E-03  8.793034E-03  3.181498E+01
     9.5000    3.751119E-03  7.783237E-03  3.191880E+01
     9.5500    3.790902E-03  7.020639E-03  3.198632E+01
     9.6000    3.752431E-03  6.584217E-03  3.202233E+01
     9.6500    3.823797E-03  6.499099E-03  3.204495E+01
     9.7000    4.139419E-03  6.748414E-03  3.207627E+01
     9.7500    4.784842E-03  7.288112E-03  3.213213E+01
     9.8000    5.806810E-03  8.072578E-03  3.221876E+01
     9.8500    7.216117E-03  9.068835E-03  3.233610E+01
     9.9000    8.975664E-03  1.025560E-02  3.248177E+01
     9.9500    1.097493E-02  1.161570E-02  3.265302E+01
    10.0000    1.300147E-02  1.312898E-02  3.284724E+01
    10.0500    1.476642E-02  1.480681E-02  3.306059E+01
    10.1000    1.582433E-02  1.659613E-02  3.329289E+01
    10.1500    1.568258E-02  1.845268E-02  3.354176E+01
    10.2000    1.389308E-02  2.032689E-02  3.380500E+01
    10.2500    1.017459E-02  2.216585E-02  3.408063E+01
    10.3000    4.530316E-03  2.391536E-02  3.436694E+01
    10.3500   -2.673395E-03  2.552194E-02  3.466246E+01
    10.4000   -1.069799E-02  2.693471E-02  3.496596E+01
    10.4500   -1.851010E-02  2.810718E-02  3.527642E+01
    10.5000   -2.494162E-02  2.899885E-02  3.559297E+01
    10.5500   -2.890570E-02  2.957656E-02  3.591492E+01
    10.6000   -2.962410E-02  2.981566E-02  3.624173E+01
    10.6500   -2.681265E-02  2.970079E-02  3.657297E+01
    10.7000   -2.077694E-02  2.922655E-02  3.690835E+01
    10.7500   -1.238855E-02  2.839767E-02  3.724768E+01
    10.8000   -2.939221E-03  2.722902E-02  3.759096E+01
    10.8500    6.099890E-03  2.574525E-02  3.793832E+01
    10.9000    1.336242E-02  2.398027E-02  3.829015E+01
    10.9500    1.785111E-02  2.197644E-02  3.864717E+01
    11.0000    1.912225E-02  1.978376E-02  3.901058E+01
    11.0500    1.749473E-02  1.760272E-02  3.938074E+01
    11.1000    1.351952E-02  1.533432E-02  3.976136E+01
    11.1500    8.236760E-03  1.304404E-02  4.015727E+01
    11.2000    2.819823E-03  1.080772E-02  4.057674E+01
    11.2500   -1.674854E-03  8.719158E-03  4.103399E+01
    11.3000   -4.510510E-03  6.906662E-03  4.155233E+01
    11.3500   -5.382181E-03  5.556778E-03  4.216016E+01
    11.4000   -4.420405E-03  4.891753E-03  4.285409E+01
    11.4500   -2.097551E-03  4.983828E-03  4.354789E+01
    11.5000    9.282790E-04  5.610186E-03  4.414852E+01
    11.5500    3.984041E-03  6.469883E-03  4.464568E+01
    11.6000    6.521114E-03  7.375331E-03  4.506703E+01
    11.6500    8.191700E-03  8.247133E-03  4.543708E+01
    11.7000    8.853438E-03  9.069149E-03  4.577163E+01
    11.7500    8.516822E-03  9.859177E-03  4.608103E+01
    11.8000    7.266839E-03  1.065114E-02  4.637304E+01
    11.8500    5.195441E-03  1.148204E-02  4.665434E+01
    11.9000    2.373565E-03  1.238141E-02  4.693099E+01
    11.9500   -1.126490E-03  1.336386E-02  4.720828E+01
    12.0000   -5.169423E-03  1.442565E-02  4.749039E+01
    12.0500   -9.479870E-03  1.557538E-02  4.777824E+01
    12.1000   -1.364785E-02  1.675724E-02  4.807566E+01
    12.1500   -1.706229E-02  1.792543E-02  4.838310E+01
    12.2000   -1.902994E-02  1.903025E-02  4.870037E+01
    12.2500   -1.892692E-02  2.002210E-02  4.902696E+01
    12.3000   -1.637736E-02  2.085461E-02  4.936228E+01
    12.3500   -1.140835E-02  2.148704E-02  4.970577E+01
    12.4000   -4.529661E-03  2.188599E-02  5.005701E+01
    12.4500    3.297963E-03  2.202679E-02  5.041577E+01
    12.5000    1.081426E-02  2.189452E-02  5.078208E+01
    12.5500    1.670556E-02  2.148478E-02  5.115625E+01
    12.6000    1.989151E-02  2.080436E-02  5.153895E+01
    12.6500    1.978217E-02  1.987185E-02  5.193132E+01
    12.7000    1.643752E-02  1.871834E-02  5.233509E+01
    12.7500    1.058249E-02  1.738846E-02  5.275279E+01
    12.8000    3.465888E-03  1.594198E-02  5.318792E+01
    12.8500   -3.408683E-03  1.445612E-02  5.364511E+01
    12.9000   -8.617548E-03  1.302814E-02  5.412983E+01
    12.9500   -1.113671E-02  1.177562E-02  5.464695E+01
    13.0000   -1.056808E-02  1.082732E-02  5.519714E+01
    13.0500   -7.195125E-03  1.022304E-02  5.576791E+01
    13.1000   -2.011673E-03  1.006494E-02  5.634744E+01
    13.1500    3.683985E-03  1.032225E-02  5.691361E+01
    13.2000    8.539154E-03  1.088673E-02  5.745034E+01
    13.2500    1.145809E-02  1.162021E-02  5.795223E+01
    13.3000    1.183557E-02  1.239618E-02  5.842136E+01
    13.3500    9.659511E-03  1.311703E-02  5.886251E+01
    13.4000    5.465518E-03  1.371523E-02  5.928038E+01
    13.4500    1.655775E-04  1.414923E-02  5.967856E+01
    13.5000   -5.195732E-03  1.439922E-02  6.005942E+01
    13.5500   -9.688786E-03  1.446393E-02  6.042428E+01
    13.6000   -1.268605E-02  1.435859E-02  6.077358E+01
    13.6500   -1.394656E-02  1.411335E-02  6.110717E+01
    13.7000   -1.358811E-02  1.377189E-02  6.142461E+01
    13.7500   -1.197025E-02  1.338918E-02  6.172561E+01
    13.8000   -9.535533E-03  1.302765E-02  6.201068E+01
    13.8500   -6.664249E-03  1.275044E-02  6.228188E+01
    13.9000   -3.588576E-03  1.261181E-02  6.254333E+01
    13.9500   -3.887100E-04  1.264623E-02  6.280111E+01
    14.0000    2.936253E-03  1.286049E-02  6.306220E+01
    14.0500    6.346818E-03  1.320724E-02  6.333314E+01
    14.1000    9.664828E-03  1.366599E-02  6.361741E+01
    14.1500    1.254402E-02  1.418195E-02  6.391729E+01
    14.2000    1.448883E-02  1.469896E-02  6.423336E+01
    14.2500    1.496659E-02  1.516648E-02  6.456518E+01
    14.3000    1.357137E-02  1.554369E-02  6.491190E+01
    14.3500    1.018939E-02  1.580133E-02  6.527263E+01
    14.4000    5.110451E-03  1.592240E-02  6.564670E+01
    14.4500   -9.584784E-04  1.590223E-02  6.603376E+01
    14.5000   -6.995226E-03  1.574816E-02  6.643372E+01
    14.5500   -1.186425E-02  1.547905E-02  6.684678E+01
    14.6000   -1.457229E-02  1.512437E-02  6.727322E+01
    14.6500   -1.451296E-02  1.472271E-02  6.771324E+01
    14.7000   -1.163448E-02  1.431926E-02  6.816660E+01
    14.7500   -6.482347E-03  1.396171E-02  6.863220E+01
    14.8000   -1.001641E-04  1.369448E-02  6.910772E+01
    14.8500    6.191099E-03  1.355175E-02  6.958949E+01
    14.9000    1.108300E-02  1.355102E-02  7.007274E+01
    14.9500    1.356798E-02  1.368963E-02  7.055242E+01
    15.0000    1.315589E-02  1.394585E-02  7.102403E+01
    15.0500    9.920315E-03  1.423164E-02  7.148534E+01
    15.1000    4.623718E-03  1.456139E-02  7.193350E+01
    15.1500   -1.648696E-03  1.489289E-02  7.236756E+01
    15.2000   -7.687870E-03  1.518889E-02  7.278735E+01
    15.2500   -1.242081E-02  1.542049E-02  7.319311E+01
    15.3000   -1.511454E-02  1.556898E-02  7.358522E+01
    15.3500   -1.548094E-02  1.562656E-02  7.396405E+01
    15.4000   -1.366881E-02  1.559633E-02  7.432986E+01
    15.4500   -1.016058E-02  1.549171E-02  7.468289E+01
    15.5000   -5.614193E-03  1.533526E-02  7.502341E+01
    15.5500   -7.007087E-04  1.515675E-02  7.535198E+01
    15.6000    4.018044E-03  1.499033E-02  7.566958E+01
    15.6500    8.145685E-03  1.487060E-02  7.597792E+01
    15.7000    1.144014E-02  1.482789E-02  7.627946E+01
    15.7500    1.375665E-02  1.488349E-02  7.657739E+01
    15.8000    1.497992E-02  1.504600E-02  7.687526E+01
    15.8500    1.498135E-02  1.530988E-02  7.717656E+01
    15.9000    1.362455E-02  1.565680E-02  7.748421E+01
    15.9500    1.082204E-02  1.605907E-02  7.780036E+01
    16.0000    6.623945E-03  1.648405E-02  7.812629E+01
    16.0500    1.288930E-03  1.687432E-02  7.846336E+01
    16.1000   -4.606252E-03  1.722282E-02  7.881056E+01
    16.1500   -1.028237E-02  1.750415E-02  7.916769E+01
    16.2000   -1.484145E-02  1.769940E-02  7.953439E+01
    16.2500   -1.744092E-02  1.779676E-02  7.991030E+01
    16.3000   -1.748980E-02  1.779168E-02  8.029509E+01
    16.3500   -1.481500E-02  1.768666E-02  8.068847E+01
    16.4000   -9.748931E-03  1.749065E-02  8.109018E+01
    16.4500   -3.106673E-03  1.721818E-02  8.149999E+01
    16.5000    3.951108E-03  1.688825E-02  8.191755E+01
    16.5500    1.014353E-02  1.652280E-02  8.234241E+01
    16.6000    1.433277E-02  1.614494E-02  8.277386E+01
    16.6500    1.576339E-02  1.577689E-02  8.321084E+01
    16.7000    1.422071E-02  1.543787E-02  8.365196E+01
    16.7500    1.007046E-02  1.514212E-02  8.409542E+01
